"Lang","To","From","ToExposed","PairDirFound","Token","IndexExists","HasRelated","RelatedCount","HasExplainer","HasTitle","HasH1"
"ar","aiff","pdf","True","True","to","True","False","0","False","True","True"
"ar","aiff","png","True","True","to","True","False","0","False","True","True"
"ar","aiff","pptx","True","True","to","True","False","0","False","True","True"
"ar","aiff","rar","True","True","to","True","False","0","False","True","True"
"ar","aiff","rtf","True","True","to","True","False","0","False","True","True"
"ar","aiff","svg","True","True","to","True","False","0","False","True","True"
"ar","aiff","tar","True","True","to","True","False","0","False","True","True"
"ar","aiff","tar.bz2","True","True","to","True","False","0","False","True","True"
"ar","aiff","tar.gz","True","True","to","True","False","0","False","True","True"
"ar","aiff","tar.xz","True","True","to","True","False","0","False","True","True"
"ar","aiff","tbz","True","True","to","True","False","0","False","True","True"
"ar","aiff","tgz","True","True","to","True","False","0","False","True","True"
"ar","aiff","tiff","True","True","to","True","False","0","False","True","True"
"ar","aiff","tsv","True","True","to","True","False","0","False","True","True"
"ar","aiff","txt","True","True","to","True","False","0","False","True","True"
"ar","aiff","txz","True","True","to","True","False","0","False","True","True"
"ar","aiff","wav","True","True","to","True","False","0","False","True","True"
"ar","aiff","webm","True","True","to","True","False","0","False","True","True"
"ar","aiff","webp","True","True","to","True","False","0","False","True","True"
"ar","aiff","xlsx","True","True","to","True","False","0","False","True","True"
"ar","aiff","zip","True","True","to","True","False","0","False","True","True"
"ar","bmp","7z","True","True","to","True","False","0","False","True","True"
"ar","bmp","aac","True","True","to","True","False","0","False","True","True"
"ar","bmp","aiff","True","True","to","True","False","0","False","True","True"
"ar","bmp","csv","True","True","to","True","False","0","False","True","True"
"ar","bmp","docx","True","True","to","True","False","0","False","True","True"
"ar","bmp","flac","True","True","to","True","False","0","False","True","True"
"ar","bmp","gif","True","True","to","True","False","0","False","True","True"
"ar","bmp","html","True","True","to","True","False","0","False","True","True"
"ar","bmp","jpeg","True","True","to","True","False","0","False","True","True"
"ar","bmp","jpg","True","True","to","True","False","0","False","True","True"
"ar","bmp","json","True","True","to","True","False","0","False","True","True"
"ar","bmp","jsonl","True","True","to","True","False","0","False","True","True"
"ar","bmp","m4a","True","True","to","True","False","0","False","True","True"
"ar","bmp","m4v","True","True","to","True","False","0","False","True","True"
"ar","bmp","md","True","True","to","True","False","0","False","True","True"
"ar","bmp","mkv","True","True","to","True","False","0","False","True","True"
"ar","bmp","mov","True","True","to","True","False","0","False","True","True"
"ar","bmp","mp3","True","True","to","True","False","0","False","True","True"
"ar","bmp","mp4","True","True","to","True","False","0","False","True","True"
"ar","bmp","ogg","True","True","to","True","False","0","False","True","True"
"ar","bmp","opus","True","True","to","True","False","0","False","True","True"
"ar","bmp","pdf","True","True","to","True","False","0","False","True","True"
"ar","bmp","png","True","True","to","True","False","0","False","True","True"
"ar","bmp","pptx","True","True","to","True","False","0","False","True","True"
"ar","bmp","rar","True","True","to","True","False","0","False","True","True"
"ar","bmp","rtf","True","True","to","True","False","0","False","True","True"
"ar","bmp","svg","True","True","to","True","False","0","False","True","True"
"ar","bmp","tar","True","True","to","True","False","0","False","True","True"
"ar","bmp","tar.bz2","True","True","to","True","False","0","False","True","True"
"ar","bmp","tar.gz","True","True","to","True","False","0","False","True","True"
"ar","bmp","tar.xz","True","True","to","True","False","0","False","True","True"
"ar","bmp","tbz","True","True","to","True","False","0","False","True","True"
"ar","bmp","tgz","True","True","to","True","False","0","False","True","True"
"ar","bmp","tiff","True","True","to","True","False","0","False","True","True"
"ar","bmp","tsv","True","True","to","True","False","0","False","True","True"
"ar","bmp","txt","True","True","to","True","False","0","False","True","True"
"ar","bmp","txz","True","True","to","True","False","0","False","True","True"
"ar","bmp","wav","True","True","to","True","False","0","False","True","True"
"ar","bmp","webm","True","True","to","True","False","0","False","True","True"
"ar","bmp","webp","True","True","to","True","False","0","False","True","True"
"ar","bmp","xlsx","True","True","to","True","False","0","False","True","True"
"ar","bmp","zip","True","True","to","True","False","0","False","True","True"
"ar","csv","7z","True","True","to","True","False","0","False","True","True"
"ar","csv","aac","True","True","to","True","False","0","False","True","True"
"ar","csv","aiff","True","True","to","True","False","0","False","True","True"
"ar","csv","bmp","True","True","to","True","False","0","False","True","True"
"ar","csv","docx","True","True","to","True","False","0","False","True","True"
"ar","csv","flac","True","True","to","True","False","0","False","True","True"
"ar","csv","gif","True","True","to","True","False","0","False","True","True"
"ar","csv","html","True","True","to","True","False","0","False","True","True"
"ar","csv","jpeg","True","True","to","True","False","0","False","True","True"
"ar","csv","jpg","True","True","to","True","False","0","False","True","True"
"ar","csv","json","True","True","to","True","False","0","False","True","True"
"ar","csv","jsonl","True","True","to","True","False","0","False","True","True"
"ar","csv","m4a","True","True","to","True","False","0","False","True","True"
"ar","csv","m4v","True","True","to","True","False","0","False","True","True"
"ar","csv","md","True","True","to","True","False","0","False","True","True"
"ar","csv","mkv","True","True","to","True","False","0","False","True","True"
"ar","csv","mov","True","True","to","True","False","0","False","True","True"
"ar","csv","mp3","True","True","to","True","False","0","False","True","True"
"ar","csv","mp4","True","True","to","True","False","0","False","True","True"
"ar","csv","ogg","True","True","to","True","False","0","False","True","True"
"ar","csv","opus","True","True","to","True","False","0","False","True","True"
"ar","csv","pdf","True","True","to","True","False","0","False","True","True"
"ar","csv","png","True","True","to","True","False","0","False","True","True"
"ar","csv","pptx","True","True","to","True","False","0","False","True","True"
"ar","csv","rar","True","True","to","True","False","0","False","True","True"
"ar","csv","rtf","True","True","to","True","False","0","False","True","True"
"ar","csv","svg","True","True","to","True","False","0","False","True","True"
"ar","csv","tar","True","True","to","True","False","0","False","True","True"
"ar","csv","tar.bz2","True","True","to","True","False","0","False","True","True"
"ar","csv","tar.gz","True","True","to","True","False","0","False","True","True"
"ar","csv","tar.xz","True","True","to","True","False","0","False","True","True"
"ar","csv","tbz","True","True","to","True","False","0","False","True","True"
"ar","csv","tgz","True","True","to","True","False","0","False","True","True"
"ar","csv","tiff","True","True","to","True","False","0","False","True","True"
"ar","csv","tsv","True","True","to","True","False","0","False","True","True"
"ar","csv","txt","True","True","to","True","False","0","False","True","True"
"ar","csv","txz","True","True","to","True","False","0","False","True","True"
"ar","csv","wav","True","True","to","True","False","0","False","True","True"
"ar","csv","webm","True","True","to","True","False","0","False","True","True"
"ar","csv","webp","True","True","to","True","False","0","False","True","True"
"ar","csv","xlsx","True","True","to","True","False","0","False","True","True"
"ar","csv","zip","True","True","to","True","False","0","False","True","True"
"ar","docx","7z","True","True","to","True","False","0","False","True","True"
"ar","docx","aac","True","True","to","True","False","0","False","True","True"
"ar","docx","aiff","True","True","to","True","False","0","False","True","True"
"ar","docx","bmp","True","True","to","True","False","0","False","True","True"
"ar","docx","csv","True","True","to","True","False","0","False","True","True"
"ar","docx","flac","True","True","to","True","False","0","False","True","True"
"ar","docx","gif","True","True","to","True","False","0","False","True","True"
"ar","docx","html","True","True","to","True","False","0","False","True","True"
"ar","docx","jpeg","True","True","to","True","False","0","False","True","True"
"ar","docx","jpg","True","True","to","True","False","0","False","True","True"
"ar","docx","json","True","True","to","True","False","0","False","True","True"
"ar","docx","jsonl","True","True","to","True","False","0","False","True","True"
"ar","docx","m4a","True","True","to","True","False","0","False","True","True"
"ar","docx","m4v","True","True","to","True","False","0","False","True","True"
"ar","docx","md","True","True","to","True","False","0","False","True","True"
"ar","docx","mkv","True","True","to","True","False","0","False","True","True"
"ar","docx","mov","True","True","to","True","False","0","False","True","True"
"ar","docx","mp3","True","True","to","True","False","0","False","True","True"
"ar","docx","mp4","True","True","to","True","False","0","False","True","True"
"ar","docx","ogg","True","True","to","True","False","0","False","True","True"
"ar","docx","opus","True","True","to","True","False","0","False","True","True"
"ar","docx","pdf","True","True","to","True","False","0","False","True","True"
"ar","docx","png","True","True","to","True","False","0","False","True","True"
"ar","docx","pptx","True","True","to","True","False","0","False","True","True"
"ar","docx","rar","True","True","to","True","False","0","False","True","True"
"ar","docx","rtf","True","True","to","True","False","0","False","True","True"
"ar","docx","svg","True","True","to","True","False","0","False","True","True"
"ar","docx","tar","True","True","to","True","False","0","False","True","True"
"ar","docx","tar.bz2","True","True","to","True","False","0","False","True","True"
"ar","docx","tar.gz","True","True","to","True","False","0","False","True","True"
"ar","docx","tar.xz","True","True","to","True","False","0","False","True","True"
"ar","docx","tbz","True","True","to","True","False","0","False","True","True"
"ar","docx","tgz","True","True","to","True","False","0","False","True","True"
"ar","docx","tiff","True","True","to","True","False","0","False","True","True"
"ar","docx","tsv","True","True","to","True","False","0","False","True","True"
"ar","docx","txt","True","True","to","True","False","0","False","True","True"
"ar","docx","txz","True","True","to","True","False","0","False","True","True"
"ar","docx","wav","True","True","to","True","False","0","False","True","True"
"ar","docx","webm","True","True","to","True","False","0","False","True","True"
