"Lang","Path","HasRelated","AnchorCount","BrokenTargets"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\mov-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\mp3-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\mp4-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\ogg-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\opus-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\pdf-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\png-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\pptx-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\rar-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\rtf-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\svg-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\tar-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\tar.bz2-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\tar.gz-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\tar.xz-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\tbz-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\tgz-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\tiff-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\tsv-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\txt-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\txz-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\wav-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\webm-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\webp-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\xlsx-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aac\zip-a-aac\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\7z-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\aac-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\bmp-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\csv-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\docx-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\flac-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\gif-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\html-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\jpeg-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\jpg-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\json-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\jsonl-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\m4a-a-aiff\index.html","True","41","0"
